uri1	AGROVOC LABELS	match	GEMET LABELS	uri2	
http://aims.fao.org/aos/agrovoc/c_468	Antarctic Ocean	http://www.w3.org/2004/02/skos/mapping#exactMatch	Antarctic Ocean	http://www.eionet.europa.eu/gemet/concept/464
http://aims.fao.org/aos/agrovoc/c_471	Antarctica	http://www.w3.org/2004/02/skos/mapping#exactMatch	Antarctica	http://www.eionet.europa.eu/gemet/concept/461
http://aims.fao.org/aos/agrovoc/c_492	antibiotics	http://www.w3.org/2004/02/skos/mapping#exactMatch	antibiotic	http://www.eionet.europa.eu/gemet/concept/473
http://aims.fao.org/aos/agrovoc/c_529	apiculture	http://www.w3.org/2004/02/skos/mapping#exactMatch	apiculture	http://www.eionet.europa.eu/gemet/concept/490
http://aims.fao.org/aos/agrovoc/c_544	Appropriate technology	http://www.w3.org/2004/02/skos/mapping#exactMatch	appropriate technology	http://www.eionet.europa.eu/gemet/concept/498
http://aims.fao.org/aos/agrovoc/c_550	aquaculture	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquaculture	http://www.eionet.europa.eu/gemet/concept/501
http://aims.fao.org/aos/agrovoc/c_552	aquatic animals	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquatic animal	http://www.eionet.europa.eu/gemet/concept/503
http://aims.fao.org/aos/agrovoc/c_554	Aquatic environment	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquatic environment	http://www.eionet.europa.eu/gemet/concept/10194
http://aims.fao.org/aos/agrovoc/c_556	Aquatic mammals	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquatic mammal	http://www.eionet.europa.eu/gemet/concept/508
http://aims.fao.org/aos/agrovoc/c_557	Aquatic organisms	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquatic organism	http://www.eionet.europa.eu/gemet/concept/511
http://aims.fao.org/aos/agrovoc/c_559	Aquatic plants	http://www.w3.org/2004/02/skos/mapping#exactMatch	aquatic plant	http://www.eionet.europa.eu/gemet/concept/514
http://aims.fao.org/aos/agrovoc/c_587	Arboriculture	http://www.w3.org/2004/02/skos/mapping#exactMatch	arboriculture	http://www.eionet.europa.eu/gemet/concept/527
http://aims.fao.org/aos/agrovoc/c_592	Arctic Ocean	http://www.w3.org/2004/02/skos/mapping#exactMatch	Arctic Ocean	http://www.eionet.europa.eu/gemet/concept/542
http://aims.fao.org/aos/agrovoc/c_622	Aromatic compounds	http://www.w3.org/2004/02/skos/mapping#exactMatch	aromatic compound	http://www.eionet.europa.eu/gemet/concept/560
http://aims.fao.org/aos/agrovoc/c_629	Arsenic	http://www.w3.org/2004/02/skos/mapping#exactMatch	arsenic	http://www.eionet.europa.eu/gemet/concept/567
http://aims.fao.org/aos/agrovoc/c_663	ASEAN	http://www.w3.org/2004/02/skos/mapping#exactMatch	ASEAN	http://www.eionet.europa.eu/gemet/concept/595
http://aims.fao.org/aos/agrovoc/c_666	Asia	http://www.w3.org/2004/02/skos/mapping#exactMatch	Asia	http://www.eionet.europa.eu/gemet/concept/598
http://aims.fao.org/aos/agrovoc/c_678	Assimilation	http://www.w3.org/2004/02/skos/mapping#exactMatch	assimilation	http://www.eionet.europa.eu/gemet/concept/605
http://aims.fao.org/aos/agrovoc/c_694	Atmospheric sciences	http://www.w3.org/2004/02/skos/mapping#exactMatch	atmospheric science	http://www.eionet.europa.eu/gemet/concept/640
http://aims.fao.org/aos/agrovoc/c_742	aviculture	http://www.w3.org/2004/02/skos/mapping#exactMatch	aviculture	http://www.eionet.europa.eu/gemet/concept/11192
http://aims.fao.org/aos/agrovoc/c_768	Bacteriology	http://www.w3.org/2004/02/skos/mapping#exactMatch	bacteriology	http://www.eionet.europa.eu/gemet/concept/702
http://aims.fao.org/aos/agrovoc/c_819	Barium	http://www.w3.org/2004/02/skos/mapping#exactMatch	barium	http://www.eionet.europa.eu/gemet/concept/719
http://aims.fao.org/aos/agrovoc/c_862	Beef cattle	http://www.w3.org/2004/02/skos/mapping#exactMatch	beef cattle	http://www.eionet.europa.eu/gemet/concept/761
http://aims.fao.org/aos/agrovoc/c_868	Behaviour	http://www.w3.org/2004/02/skos/mapping#exactMatch	behaviour	http://www.eionet.europa.eu/gemet/concept/765
http://aims.fao.org/aos/agrovoc/c_9227	Benthos	http://www.w3.org/2004/02/skos/mapping#exactMatch	benthos	http://www.eionet.europa.eu/gemet/concept/775
http://aims.fao.org/aos/agrovoc/c_879	Benzene	http://www.w3.org/2004/02/skos/mapping#exactMatch	benzene	http://www.eionet.europa.eu/gemet/concept/776
http://aims.fao.org/aos/agrovoc/c_887	Beryllium	http://www.w3.org/2004/02/skos/mapping#exactMatch	beryllium	http://www.eionet.europa.eu/gemet/concept/781
http://aims.fao.org/aos/agrovoc/c_895	Beverage industry	http://www.w3.org/2004/02/skos/mapping#exactMatch	beverage industry	http://www.eionet.europa.eu/gemet/concept/783
http://aims.fao.org/aos/agrovoc/c_910	biochemistry	http://www.w3.org/2004/02/skos/mapping#exactMatch	biochemistry	http://www.eionet.europa.eu/gemet/concept/815
http://aims.fao.org/aos/agrovoc/c_912	Biocoenosis	http://www.w3.org/2004/02/skos/mapping#exactMatch	biocoenosis	http://www.eionet.europa.eu/gemet/concept/819
http://aims.fao.org/aos/agrovoc/c_915	Biogeography	http://www.w3.org/2004/02/skos/mapping#exactMatch	biogeography	http://www.eionet.europa.eu/gemet/concept/836
http://aims.fao.org/aos/agrovoc/c_921	biological development	http://www.w3.org/2004/02/skos/mapping#exactMatch	biological development	http://www.eionet.europa.eu/gemet/concept/846
http://aims.fao.org/aos/agrovoc/c_925	biology	http://www.w3.org/2004/02/skos/mapping#exactMatch	biology	http://www.eionet.europa.eu/gemet/concept/881
http://aims.fao.org/aos/agrovoc/c_926	biomass	http://www.w3.org/2004/02/skos/mapping#exactMatch	biomass	http://www.eionet.europa.eu/gemet/concept/883
http://aims.fao.org/aos/agrovoc/c_928	Biosynthesis	http://www.w3.org/2004/02/skos/mapping#exactMatch	biosynthesis	http://www.eionet.europa.eu/gemet/concept/895
http://aims.fao.org/aos/agrovoc/c_946	Black Sea	http://www.w3.org/2004/02/skos/mapping#exactMatch	Black Sea	http://www.eionet.europa.eu/gemet/concept/14842
http://aims.fao.org/aos/agrovoc/c_989	Boiling point	http://www.w3.org/2004/02/skos/mapping#exactMatch	boiling point	http://www.eionet.europa.eu/gemet/concept/954
http://aims.fao.org/aos/agrovoc/c_1018	Boron	http://www.w3.org/2004/02/skos/mapping#exactMatch	boron	http://www.eionet.europa.eu/gemet/concept/965
http://aims.fao.org/aos/agrovoc/c_1020	Botanical gardens	http://www.w3.org/2004/02/skos/mapping#exactMatch	botanical garden	http://www.eionet.europa.eu/gemet/concept/969
http://aims.fao.org/aos/agrovoc/c_1023	Botany	http://www.w3.org/2004/02/skos/mapping#exactMatch	botany	http://www.eionet.europa.eu/gemet/concept/971
http://aims.fao.org/aos/agrovoc/c_1049	Brackish water	http://www.w3.org/2004/02/skos/mapping#exactMatch	brackish water	http://www.eionet.europa.eu/gemet/concept/984
http://aims.fao.org/aos/agrovoc/c_1088	Brewing industry	http://www.w3.org/2004/02/skos/mapping#exactMatch	brewing industry	http://www.eionet.europa.eu/gemet/concept/997
http://aims.fao.org/aos/agrovoc/c_1106	Bromine	http://www.w3.org/2004/02/skos/mapping#exactMatch	bromine	http://www.eionet.europa.eu/gemet/concept/1007
http://aims.fao.org/aos/agrovoc/c_1134	budgets	http://www.w3.org/2004/02/skos/mapping#exactMatch	budget	http://www.eionet.europa.eu/gemet/concept/1025
http://aims.fao.org/aos/agrovoc/c_1178	Cadmium	http://www.w3.org/2004/02/skos/mapping#exactMatch	cadmium	http://www.eionet.europa.eu/gemet/concept/1100
http://aims.fao.org/aos/agrovoc/c_1182	Caesium	http://www.w3.org/2004/02/skos/mapping#exactMatch	caesium	http://www.eionet.europa.eu/gemet/concept/1103
http://aims.fao.org/aos/agrovoc/c_1196	Calcium	http://www.w3.org/2004/02/skos/mapping#exactMatch	calcium	http://www.eionet.europa.eu/gemet/concept/1111
http://aims.fao.org/aos/agrovoc/c_1300	Carbohydrates	http://www.w3.org/2004/02/skos/mapping#exactMatch	carbohydrate	http://www.eionet.europa.eu/gemet/concept/1159
http://aims.fao.org/aos/agrovoc/c_1693	Carbon	http://www.w3.org/2004/02/skos/mapping#exactMatch	carbon	http://www.eionet.europa.eu/gemet/concept/1160
http://aims.fao.org/aos/agrovoc/c_1302	Carbon dioxide	http://www.w3.org/2004/02/skos/mapping#exactMatch	carbon dioxide	http://www.eionet.europa.eu/gemet/concept/1168
http://aims.fao.org/aos/agrovoc/c_1303	Carbon monoxide	http://www.w3.org/2004/02/skos/mapping#exactMatch	carbon monoxide	http://www.eionet.europa.eu/gemet/concept/1173
http://aims.fao.org/aos/agrovoc/c_1317	Cardiovascular system	http://www.w3.org/2004/02/skos/mapping#exactMatch	cardiovascular system	http://www.eionet.europa.eu/gemet/concept/11836
http://aims.fao.org/aos/agrovoc/c_1344	cartography	http://www.w3.org/2004/02/skos/mapping#exactMatch	cartography	http://www.eionet.europa.eu/gemet/concept/1200
http://aims.fao.org/aos/agrovoc/c_1391	Cattle	http://www.w3.org/2004/02/skos/mapping#exactMatch	cattle	http://www.eionet.europa.eu/gemet/concept/1225
http://aims.fao.org/aos/agrovoc/c_1423	Cellulose	http://www.w3.org/2004/02/skos/mapping#exactMatch	cellulose	http://www.eionet.europa.eu/gemet/concept/1244
http://aims.fao.org/aos/agrovoc/c_1426	Cement	http://www.w3.org/2004/02/skos/mapping#exactMatch	cement	http://www.eionet.europa.eu/gemet/concept/1247
http://aims.fao.org/aos/agrovoc/c_1432	Central Africa	http://www.w3.org/2004/02/skos/mapping#exactMatch	Central Africa	http://www.eionet.europa.eu/gemet/concept/1255
http://aims.fao.org/aos/agrovoc/c_1434	Central America	http://www.w3.org/2004/02/skos/mapping#exactMatch	Central America	http://www.eionet.europa.eu/gemet/concept/1256
http://aims.fao.org/aos/agrovoc/c_1437	Central government	http://www.w3.org/2004/02/skos/mapping#exactMatch	central government	http://www.eionet.europa.eu/gemet/concept/1259
http://aims.fao.org/aos/agrovoc/c_1456	Cephalopoda	http://www.w3.org/2004/02/skos/mapping#exactMatch	cephalopod	http://www.eionet.europa.eu/gemet/concept/1265
http://aims.fao.org/aos/agrovoc/c_1503	Charcoal	http://www.w3.org/2004/02/skos/mapping#exactMatch	charcoal	http://www.eionet.europa.eu/gemet/concept/1290
http://aims.fao.org/aos/agrovoc/c_1513	Analytical methods	http://www.w3.org/2004/02/skos/mapping#exactMatch	analytical method	http://www.eionet.europa.eu/gemet/concept/402
http://aims.fao.org/aos/agrovoc/c_1515	Chemical industry	http://www.w3.org/2004/02/skos/mapping#exactMatch	chemical industry	http://www.eionet.europa.eu/gemet/concept/1310
http://aims.fao.org/aos/agrovoc/c_1516	Chemical oceanography	http://www.w3.org/2004/02/skos/mapping#exactMatch	chemical oceanography	http://www.eionet.europa.eu/gemet/concept/1312
http://aims.fao.org/aos/agrovoc/c_1520	chemicals	http://www.w3.org/2004/02/skos/mapping#exactMatch	chemical	http://www.eionet.europa.eu/gemet/concept/1327
http://aims.fao.org/aos/agrovoc/c_1522	Chemistry	http://www.w3.org/2004/02/skos/mapping#exactMatch	chemistry	http://www.eionet.europa.eu/gemet/concept/1348
http://aims.fao.org/aos/agrovoc/c_1560	Chiroptera	http://www.w3.org/2004/02/skos/mapping#exactMatch	chiropteran	http://www.eionet.europa.eu/gemet/concept/1362
http://aims.fao.org/aos/agrovoc/c_1568	Chlorine	http://www.w3.org/2004/02/skos/mapping#exactMatch	chlorine	http://www.eionet.europa.eu/gemet/concept/1373
http://aims.fao.org/aos/agrovoc/c_1577	Chlorophylls	http://www.w3.org/2004/02/skos/mapping#exactMatch	chlorophyll	http://www.eionet.europa.eu/gemet/concept/1391
http://aims.fao.org/aos/agrovoc/c_1579	Chlorosis	http://www.w3.org/2004/02/skos/mapping#exactMatch	chlorosis	http://www.eionet.europa.eu/gemet/concept/1393
http://aims.fao.org/aos/agrovoc/c_1594	Chromatography	http://www.w3.org/2004/02/skos/mapping#exactMatch	chromatography	http://www.eionet.europa.eu/gemet/concept/1400
http://aims.fao.org/aos/agrovoc/c_1595	Chromium	http://www.w3.org/2004/02/skos/mapping#exactMatch	chromium	http://www.eionet.europa.eu/gemet/concept/1401
http://aims.fao.org/aos/agrovoc/c_1648	Civil engineering	http://www.w3.org/2004/02/skos/mapping#exactMatch	civil engineering	http://www.eionet.europa.eu/gemet/concept/1434
http://aims.fao.org/aos/agrovoc/c_1653	classification	http://www.w3.org/2004/02/skos/mapping#exactMatch	classification	http://www.eionet.europa.eu/gemet/concept/1447
http://aims.fao.org/aos/agrovoc/c_1662	Land clearing	http://www.w3.org/2004/02/skos/mapping#exactMatch	land clearing	http://www.eionet.europa.eu/gemet/concept/4609
http://aims.fao.org/aos/agrovoc/c_1665	climate	http://www.w3.org/2004/02/skos/mapping#exactMatch	climate	http://www.eionet.europa.eu/gemet/concept/1462
http://aims.fao.org/aos/agrovoc/c_1666	Climatic change	http://www.w3.org/2004/02/skos/mapping#exactMatch	climatic change	http://www.eionet.europa.eu/gemet/concept/1471
